year,borough,hour,injured,killed
2017,Manhattan,6,211,0
2017,Manhattan,7,268,2
2017,Manhattan,8,425,0
2017,Manhattan,9,526,0
2017,Manhattan,10,395,0
2017,Manhattan,11,572,4
2017,Manhattan,12,595,2
2017,Manhattan,13,657,4
2017,Manhattan,14,702,2
2017,Manhattan,15,652,20
2017,Manhattan,16,709,0
2017,Manhattan,17,720,6
2017,Manhattan,18,679,2
2017,Manhattan,19,620,0
2017,Manhattan,20,536,0
2017,Manhattan,21,594,4
2017,Manhattan,22,534,0
2017,Manhattan,23,378,4
2017,Queens,0,646,6
2017,Queens,1,254,0
2017,Queens,2,238,4
2017,Queens,3,154,0
2017,Queens,4,358,4
2017,Queens,5,290,2
2017,Queens,6,540,12
2017,Queens,7,651,2
2017,Queens,8,1298,0
2017,Queens,9,976,0
2017,Queens,10,798,2
2017,Queens,11,840,0
2017,Queens,12,896,4
2017,Queens,13,1054,2
2017,Queens,14,1177,6
2017,Queens,15,1269,0
2017,Queens,16,1319,2
2017,Queens,17,1537,4
2017,Queens,18,1475,4
2017,Queens,19,1221,6
2017,Queens,20,968,4
2017,Queens,21,758,2
2017,Queens,22,857,8
2017,Queens,23,628,6
2017,Staten Island,0,88,0
2017,Staten Island,1,20,0
2017,Staten Island,2,15,2
2017,Staten Island,3,24,0
2017,Staten Island,4,30,0
2017,Staten Island,5,22,0
2017,Staten Island,6,51,2
2017,Staten Island,7,114,0
2017,Staten Island,8,218,0
2017,Staten Island,9,102,0
2017,Staten Island,10,150,0
2017,Staten Island,11,116,0
2017,Staten Island,12,178,2
2017,Staten Island,13,184,2
2017,Staten Island,14,200,2
2017,Staten Island,15,204,0
2017,Staten Island,16,286,2
2017,Staten Island,17,234,0
2017,Staten Island,18,228,2
2017,Staten Island,19,170,2
2017,Staten Island,20,169,0
2017,Staten Island,21,102,0
2017,Staten Island,22,92,0
2017,Staten Island,23,102,0
2017,Unspecified,0,2255,10
2017,Unspecified,1,1125,14
2017,Unspecified,2,824,10
2017,Unspecified,3,793,8
2017,Unspecified,4,997,20
2017,Unspecified,5,1000,12
2017,Unspecified,6,1390,10
2017,Unspecified,7,1730,4
2017,Unspecified,8,2484,8
2017,Unspecified,9,2145,8
2017,Unspecified,10,2114,4
2017,Unspecified,11,2131,8
2017,Unspecified,12,2157,7
2017,Unspecified,13,2498,4
2017,Unspecified,14,2972,8
2017,Unspecified,15,3237,2
2017,Unspecified,16,3190,12
2017,Unspecified,17,3417,14
2017,Unspecified,18,3017,16
2017,Unspecified,19,2765,10
2017,Unspecified,20,2401,12
2017,Unspecified,21,2193,12
2017,Unspecified,22,2098,14
2017,Unspecified,23,1990,13
2018,Bronx,0,534,0
2018,Bronx,1,202,0
2018,Bronx,2,128,4
2018,Bronx,3,145,0
2018,Bronx,4,152,0
2018,Bronx,5,152,4
2018,Bronx,6,260,2
2018,Bronx,7,392,4
2018,Bronx,8,662,0
2018,Bronx,9,587,2
2018,Bronx,10,439,0
2018,Bronx,11,472,2
2018,Bronx,12,670,0
2018,Bronx,13,594,4
2018,Bronx,14,798,1
2018,Bronx,15,963,4
2018,Bronx,16,914,2
2018,Bronx,17,917,0
2018,Bronx,18,902,2
2018,Bronx,19,745,4
2018,Bronx,20,556,2
2018,Bronx,21,554,0
2018,Bronx,22,454,0
2018,Bronx,23,376,4
2018,Brooklyn,0,1040,4
2018,Brooklyn,1,440,2
2018,Brooklyn,2,292,0
2018,Brooklyn,3,296,0
2018,Brooklyn,4,305,0
2018,Brooklyn,5,348,2
2018,Brooklyn,6,538,6
2018,Brooklyn,7,839,4
2018,Brooklyn,8,1330,2
2018,Brooklyn,9,1102,0
2018,Brooklyn,10,951,6
2018,Brooklyn,11,1036,2
2018,Brooklyn,12,1233,4
